site_id,name,subregion,lat,lon,dev_ha,ownership,typology,dist_transit_km,elev_m,slope_pct,ndvi,ndbi,lst_anom_c,impervious_pct,flood_risk,enviro_sensitivity,contamination,bulk_infra,social_facility,land_value_r_m2,delivery_complexity,group_area_1950,redress_index,displacement_risk,zone,height_storeys,zoning_note,asofright_u_ha
S01,Wingfield,Northern Metro,-33.907,18.523,180.0,National,Brownfield-Strategic,1.23,18,0.0,0.24,0.18,2.6,52,55,35,58,72,54,1450,72,State / military reserve,88,8,TR2,0,"Military reserve; no residential right, full rezoning",0
S02,Ysterplaat,Northern Metro,-33.904,18.493,95.0,National,Brownfield-Strategic,1.09,19,2.67,0.27,0.15,2.1,48,48,30,52,74,56,2100,74,State / military reserve,86,10,TR2,0,"Military reserve; no residential right, full rezoning",0
S03,Culemborg,Foreshore,-33.916,18.438,42.0,National-Rail,Brownfield-Rail,1.13,0,0.0,0.09,0.34,3.8,88,62,22,76,80,64,3600,78,Industrial / rail reserve,90,6,TR2,0,Rail reserve; Transnet release then rezoning,0
S04,Salt River Market,Inner City,-33.928,18.463,5.6,City,Brownfield-Infill,0.2,10,2.0,0.11,0.31,3.4,84,34,15,44,84,80,5200,52,Declared White; Coloured residents removed,82,78,GB2,6,General Business; Salt River regeneration overlay,135
S05,Woodstock Hospital,Inner City,-33.931,18.452,1.9,Provincial,Adaptive-Reuse,0.83,22,4.33,0.14,0.29,3.2,80,20,12,30,86,90,7400,64,Declared White; Coloured residents removed,84,82,CO1,0,"Community (hospital); rezone to GR/MU, ~8 storeys likely",0
S06,Pickwick Road,Inner City,-33.93,18.459,1.2,City,Infill,0.63,18,4.33,0.1,0.32,3.3,86,26,12,36,85,90,6100,40,Declared White; Coloured residents removed,83,74,MU1,4,Mixed Use 1; Woodstock-Salt River local area overlay,85
S07,Founders Garden,CBD,-33.921,18.423,2.4,City,Infill,0.35,22,5.0,0.31,0.22,2.4,66,18,28,18,90,92,11500,58,Declared White,92,22,GB7,15,CBD business; no fixed height limit in the core,300
S08,Helen Bowden,Atlantic Seaboard,-33.907,18.418,3.1,Provincial,Adaptive-Reuse,1.83,7,3.67,0.19,0.27,2.2,74,30,20,22,88,64,14200,86,Declared White,95,20,CO1,0,Nurses home; Green Point height + view corridors ~8,0
S09,Prestwich Precinct,Atlantic Seaboard,-33.913,18.418,1.6,City,Infill,1.3,25,5.0,0.12,0.3,2.5,82,28,34,26,87,76,13800,80,Declared White; Prestwich burial ground,93,26,GB2,8,General Business; heritage burial-ground constraint,180
S10,District Six,Inner City,-33.929,18.431,42.0,National-Restitution,Restitution,0.85,16,5.33,0.21,0.24,2.7,58,14,18,24,82,100,6800,92,Declared White 1966; ~60 000 removed,100,12,GR2,6,"District Six restitution framework, ~6 storeys",135
S11,Conradie Park,Pinelands,-33.94,18.504,22.0,Provincial,Brownfield-Delivered,1.23,9,1.0,0.26,0.21,2.0,60,32,24,28,80,52,3900,26,Declared White,87,14,MU2,8,Already rezoned; Conradie precinct plan,180
S12,Two Rivers / Oude Molen,Observatory,-33.937,18.478,60.0,Provincial,Greenfield-Sensitive,0.61,8,2.67,0.44,0.12,0.9,32,84,88,30,72,80,2900,88,Declared White,85,30,OS2,0,"Open space + heritage; TRUP framework, heights ~4",0
