site_id,name,score::Job accessibility,score::Transit access,score::Developable land supply,score::Land cost,score::Bulk infrastructure,score::Flood / water risk,score::Terrain buildability,score::Environmental constraint,score::Contamination burden,score::Social facility access,score::Heat / green deficit,score::Delivery complexity,score::Spatial redress,score::Displacement risk
S07,Founders Garden,100.0,95.4,0.7,5.8,100.0,94.3,89.4,78.9,94.1,100.0,42.9,51.5,91.1,78.9
S16,Bellville CBD,75.7,100.0,9.4,42.0,80.0,88.6,90.7,94.7,70.6,82.6,17.1,66.7,82.2,63.2
S10,District Six,72.7,93.8,22.8,20.3,80.0,100.0,72.0,92.1,85.3,82.6,34.3,0.0,100.0,92.1
S24,Sir Lowrys Road,44.7,98.5,0.9,12.9,90.0,85.7,88.2,97.4,73.5,91.3,14.3,45.5,86.7,15.8
S06,Pickwick Road,22.4,100.0,0.0,23.3,87.5,82.9,91.9,100.0,67.6,82.6,17.1,78.8,81.1,10.5
S11,Conradie Park,14.7,90.8,11.6,35.7,75.0,74.3,95.7,84.2,79.4,73.9,54.3,100.0,85.6,89.5
S05,Woodstock Hospital,26.6,96.9,0.4,18.0,90.0,91.4,85.1,100.0,76.5,95.7,20.0,42.4,82.2,0.0
S09,Prestwich Precinct,45.0,92.3,0.2,0.8,92.5,80.0,94.4,71.1,82.4,87.0,40.0,18.2,92.2,73.7
S04,Salt River Market,20.9,98.5,2.5,27.7,85.0,71.4,95.0,96.1,55.9,78.3,14.3,60.6,80.0,5.3
S08,Helen Bowden,32.1,90.8,1.1,0.0,95.0,77.1,93.2,89.5,88.2,91.3,48.6,9.1,94.4,81.6
S17,Parow / Elsies River,15.3,93.8,13.9,51.5,70.0,68.6,93.2,92.1,61.8,60.9,25.7,63.6,62.2,60.5
S01,Wingfield,21.6,83.1,100.0,63.0,55.0,41.4,96.9,69.7,35.3,34.8,37.1,30.3,86.7,97.4
S02,Ysterplaat,21.0,87.7,52.5,52.8,60.0,51.4,98.1,76.3,44.1,43.5,51.4,27.3,84.4,94.7
S30,Phoenix / Milnerton,29.2,78.5,10.5,60.3,50.0,40.0,97.5,57.9,82.4,39.1,42.9,69.7,53.3,73.7
S13,Ndabeni / Maitland,16.7,95.4,18.3,46.9,70.0,57.1,96.3,81.6,20.6,52.2,11.4,48.5,77.8,76.3
S03,Culemborg,41.5,96.9,22.8,37.9,75.0,31.4,99.4,86.8,8.8,28.3,2.9,21.2,88.9,100.0
S14,Epping Market,26.0,80.0,15.0,55.6,65.0,62.9,98.1,89.5,26.5,34.8,0.0,54.5,71.1,92.1
S26,Highlands Drive Mitchells Plain,3.9,81.5,21.7,76.8,30.0,28.6,99.4,68.4,94.1,34.8,34.3,75.8,17.8,84.2
S29,Wallacedene / Kraaifontein,3.2,84.6,19.5,80.1,30.0,22.9,95.0,71.1,94.1,30.4,37.1,72.7,13.3,81.6
S15,Athlone Power Station,12.2,86.2,24.5,66.0,60.0,45.7,96.9,76.3,0.0,43.5,22.9,39.4,46.7,71.1
S27,Blue Downs / Kleinvlei,3.7,76.9,26.2,78.8,25.0,34.3,98.1,63.2,91.2,26.1,40.0,78.8,15.6,86.8
S21,Kuyasa / Khayelitsha,3.1,87.7,16.1,85.2,25.0,14.3,100.0,78.9,88.2,26.1,25.7,51.5,15.6,68.4
S12,Two Rivers / Oude Molen,16.1,92.3,32.9,43.9,55.0,0.0,97.5,0.0,76.5,69.6,85.7,6.1,83.3,68.4
S18,Delft Symphony,7.5,61.5,31.8,76.2,20.0,25.7,98.8,73.7,91.2,21.7,31.4,72.7,11.1,78.9
S28,Atlantis Wesfleur,0.0,0.0,49.7,100.0,35.0,60.0,94.4,44.7,76.5,4.3,65.7,87.9,0.0,92.1
S20,Macassar,1.7,52.3,36.2,83.1,15.0,37.1,95.7,34.2,70.6,13.0,60.0,57.6,8.9,86.8
S22,Dido Valley,0.8,70.8,4.9,49.1,30.0,94.3,27.3,21.1,97.1,17.4,100.0,33.3,75.6,94.7
S19,Philippi East,6.7,75.4,28.4,81.2,10.0,8.6,99.4,15.8,82.4,4.3,45.7,12.1,13.3,50.0
S25,Sir Lowrys Pass Village,2.0,24.6,12.8,86.5,0.0,20.0,75.8,39.5,100.0,0.0,71.4,60.6,6.7,89.5
S23,Imizamo Yethu,3.7,33.8,3.8,41.2,5.0,77.1,0.0,26.3,94.1,8.7,94.3,15.2,66.7,63.2
