rank,site_id,name,subregion,typology,ownership,suitability,rank_redress,suit_redress,rank_shift,impact_rank,impact_index,dev_ha,density_u_ha,units_total,units_social,zone,height_storeys,asofright_u_ha,units_asofright,units_rezoning,dist_cbd_km,dist_bellville_km,dist_transit_km,tranche
1,S07,Founders Garden,CBD,Infill,City,73.69,1,78.91,0,8,69.57,2.4,220,528,343,GB7,15,300,528,0,0.45,19.16,0.35,Tranche 1 (2027-2029)
2,S16,Bellville CBD,Northern Metro,Brownfield-Infill,Mixed,69.55,3,72.31,1,3,95.87,18.0,200,3600,2340,GB5,12,260,3600,0,19.22,0.19,0.87,Tranche 1 (2027-2029)
3,S10,District Six,Inner City,Restitution,National-Restitution,66.63,2,75.73,-1,2,96.8,42.0,130,5460,3549,GR2,6,135,5460,0,0.78,18.56,0.85,Tranche 3 (2034-2037)
4,S24,Sir Lowrys Road,Inner City,Infill,City,60.93,7,64.37,3,19,52.32,2.8,220,616,400,MU2,10,220,616,0,1.49,17.7,0.6,Tranche 2 (2030-2033)
5,S06,Pickwick Road,Inner City,Infill,City,59.61,11,61.66,6,25,37.9,1.2,220,264,172,MU1,4,85,102,162,3.27,16.04,0.63,Tranche 1 (2027-2029)
6,S05,Woodstock Hospital,Inner City,Adaptive-Reuse,Provincial,58.48,12,60.66,6,22,45.32,1.9,260,494,321,CO1,0,0,0,494,2.66,16.7,0.83,Tranche 2 (2030-2033)
7,S11,Conradie Park,Pinelands,Brownfield-Delivered,Provincial,58.07,5,65.19,-2,5,72.57,22.0,160,3520,2288,MU2,8,180,3520,0,7.56,12.36,1.23,Tranche 1 (2027-2029)
8,S01,Wingfield,Northern Metro,Brownfield-Strategic,National,57.86,4,65.33,-4,1,100.0,180.0,140,25200,16380,TR2,0,0,0,25200,9.34,9.83,1.23,Tranche 3 (2034-2037)
9,S17,Parow / Elsies River,Northern Metro,Corridor-Infill,Mixed,57.61,15,59.11,6,6,72.13,26.0,140,3640,2366,GB2,6,135,3510,130,14.95,4.18,0.13,Tranche 2 (2030-2033)
10,S04,Salt River Market,Inner City,Brownfield-Infill,City,57.22,14,59.17,4,17,54.85,5.6,200,1120,728,GB2,6,135,756,364,3.61,15.64,0.2,Tranche 2 (2030-2033)
11,S09,Prestwich Precinct,Atlantic Seaboard,Infill,City,55.57,6,64.72,-5,27,36.29,1.6,220,352,229,GB2,8,180,288,64,1.44,19.54,1.3,Tranche 2 (2030-2033)
12,S02,Ysterplaat,Northern Metro,Brownfield-Strategic,National,54.31,9,62.24,-3,4,82.72,95.0,140,13300,8645,TR2,0,0,0,13300,6.77,12.58,1.09,Tranche 3 (2034-2037)
13,S14,Epping Market,Northern Metro,Brownfield-Industrial,City,53.7,13,59.33,0,11,66.16,28.0,150,4200,2730,GI1,0,0,0,4200,10.27,9.41,0.82,Tranche 2 (2030-2033)
14,S30,Phoenix / Milnerton,Blaauwberg,Infill,City,53.02,17,54.11,3,12,65.39,20.0,220,4400,2860,GR2,5,110,2200,2200,10.4,10.83,1.59,Tranche 2 (2030-2033)
15,S08,Helen Bowden,Atlantic Seaboard,Adaptive-Reuse,Provincial,52.97,8,63.56,-7,23,43.3,3.1,260,806,524,CO1,0,0,0,806,2.07,19.5,1.83,Tranche 2 (2030-2033)
16,S13,Ndabeni / Maitland,Northern Metro,Brownfield-Industrial,Mixed,52.67,16,58.94,0,9,66.57,34.0,150,5100,3315,GI1,0,0,0,5100,5.9,13.31,0.09,Tranche 2 (2030-2033)
17,S26,Highlands Drive Mitchells Plain,Cape Flats,Greenfield-Infill,City,52.48,21,48.04,4,14,60.96,40.0,85,3400,2210,GR1,4,85,3400,0,22.2,15.63,0.95,Tranche 2 (2030-2033)
18,S03,Culemborg,Foreshore,Brownfield-Rail,National-Rail,51.82,10,61.76,-8,7,70.45,42.0,190,7980,5187,TR2,0,0,0,7980,1.62,17.73,1.13,Tranche 3 (2034-2037)
19,S28,Atlantis Wesfleur,Blaauwberg,Greenfield-Periphery,City,51.65,24,44.03,5,10,66.16,90.0,65,5850,3802,GR1,3,60,5400,450,40.15,39.16,4.6,Tranche 2 (2030-2033)
20,S29,Wallacedene / Kraaifontein,Northern Metro,Corridor-Greenfield,City,51.45,22,46.14,2,15,58.31,36.0,90,3240,2106,SR2,3,60,2160,1080,28.51,10.2,0.57,Tranche 2 (2030-2033)
21,S21,Kuyasa / Khayelitsha,Cape Flats,Infill-Upgrading,City,49.91,23,44.61,2,16,55.49,30.0,110,3300,2145,GR1,3,60,1800,1500,25.69,15.39,1.04,Tranche 2 (2030-2033)
22,S15,Athlone Power Station,Cape Flats,Brownfield-Industrial,City,49.13,20,50.02,-2,13,62.54,45.0,150,6750,4388,GI2,0,0,0,6750,9.42,12.28,1.44,Tranche 3 (2034-2037)
23,S27,Blue Downs / Kleinvlei,Cape Flats,Corridor-Greenfield,City,47.59,25,43.71,2,18,54.02,48.0,90,4320,2808,GR1,3,60,2880,1440,25.91,12.39,3.05,Tranche 2 (2030-2033)
24,S18,Delft Symphony,Cape Flats,Greenfield-Periphery,City,46.63,26,41.83,2,20,50.52,58.0,65,3770,2450,GR1,3,60,3480,290,21.33,8.54,4.56,Tranche 2 (2030-2033)
25,S12,Two Rivers / Oude Molen,Observatory,Greenfield-Sensitive,Provincial,45.48,18,53.33,-7,21,49.4,60.0,70,4200,2730,OS2,0,0,0,4200,5.15,14.53,0.61,Tranche 3 (2034-2037)
26,S20,Macassar,Helderberg,Greenfield-Periphery,City,41.8,27,37.79,1,24,42.11,66.0,65,4290,2788,SR1,2,40,2640,1650,33.47,21.12,3.55,Tranche 2 (2030-2033)
27,S22,Dido Valley,South Peninsula,Greenfield-Constrained,National,41.16,19,50.31,-8,29,21.01,10.0,60,600,390,SR1,2,40,400,200,28.14,36.13,0.98,Tranche 2 (2030-2033)
28,S19,Philippi East,Cape Flats,Greenfield-Contested,Mixed,40.44,28,35.55,0,26,37.71,52.0,70,3640,2366,AG,0,0,0,3640,16.51,13.44,1.44,Tranche 3 (2034-2037)
29,S25,Sir Lowrys Pass Village,Helderberg,Greenfield-Periphery,Mixed,36.78,30,33.27,1,28,22.75,24.0,65,1560,1014,SR1,2,40,960,600,46.42,31.25,4.19,Tranche 2 (2030-2033)
30,S23,Imizamo Yethu,South Peninsula,Infill-Upgrading,City,26.16,29,34.94,-1,30,0.0,8.0,110,880,572,GR1,3,60,480,400,12.72,28.37,9.72,Tranche 3 (2034-2037)
