site_id,year,units_released,under_construction
S07,2027,176,1
S07,2028,176,1
S07,2029,176,1
S07,2030,0,0
S07,2031,0,0
S07,2032,0,0
S07,2033,0,0
S07,2034,0,0
S07,2035,0,0
S07,2036,0,0
S07,2037,0,0
S16,2027,1200,1
S16,2028,1200,1
S16,2029,1200,1
S16,2030,0,0
S16,2031,0,0
S16,2032,0,0
S16,2033,0,0
S16,2034,0,0
S16,2035,0,0
S16,2036,0,0
S16,2037,0,0
S10,2027,0,0
S10,2028,0,0
S10,2029,0,0
S10,2030,0,0
S10,2031,0,0
S10,2032,0,0
S10,2033,0,0
S10,2034,1365,1
S10,2035,1365,1
S10,2036,1365,1
S10,2037,1365,1
S24,2027,0,0
S24,2028,0,0
S24,2029,0,0
S24,2030,154,1
S24,2031,154,1
S24,2032,154,1
S24,2033,154,1
S24,2034,0,0
S24,2035,0,0
S24,2036,0,0
S24,2037,0,0
S06,2027,88,1
S06,2028,88,1
S06,2029,88,1
S06,2030,0,0
S06,2031,0,0
S06,2032,0,0
S06,2033,0,0
S06,2034,0,0
S06,2035,0,0
S06,2036,0,0
S06,2037,0,0
S05,2027,0,0
S05,2028,0,0
S05,2029,0,0
S05,2030,124,1
S05,2031,124,1
S05,2032,124,1
S05,2033,124,1
S05,2034,0,0
S05,2035,0,0
S05,2036,0,0
S05,2037,0,0
S11,2027,1173,1
S11,2028,1173,1
S11,2029,1173,1
S11,2030,0,0
S11,2031,0,0
S11,2032,0,0
S11,2033,0,0
S11,2034,0,0
S11,2035,0,0
S11,2036,0,0
S11,2037,0,0
S01,2027,0,0
S01,2028,0,0
S01,2029,0,0
S01,2030,0,0
S01,2031,0,0
S01,2032,0,0
S01,2033,0,0
S01,2034,6300,1
S01,2035,6300,1
S01,2036,6300,1
S01,2037,6300,1
S17,2027,0,0
S17,2028,0,0
S17,2029,0,0
S17,2030,910,1
S17,2031,910,1
S17,2032,910,1
S17,2033,910,1
S17,2034,0,0
S17,2035,0,0
S17,2036,0,0
S17,2037,0,0
S04,2027,0,0
S04,2028,0,0
S04,2029,0,0
S04,2030,280,1
S04,2031,280,1
S04,2032,280,1
S04,2033,280,1
S04,2034,0,0
S04,2035,0,0
S04,2036,0,0
S04,2037,0,0
S09,2027,0,0
S09,2028,0,0
S09,2029,0,0
S09,2030,88,1
S09,2031,88,1
S09,2032,88,1
S09,2033,88,1
S09,2034,0,0
S09,2035,0,0
S09,2036,0,0
S09,2037,0,0
S02,2027,0,0
S02,2028,0,0
S02,2029,0,0
S02,2030,0,0
S02,2031,0,0
S02,2032,0,0
S02,2033,0,0
S02,2034,3325,1
S02,2035,3325,1
S02,2036,3325,1
S02,2037,3325,1
S14,2027,0,0
S14,2028,0,0
S14,2029,0,0
S14,2030,1050,1
S14,2031,1050,1
S14,2032,1050,1
S14,2033,1050,1
S14,2034,0,0
S14,2035,0,0
S14,2036,0,0
S14,2037,0,0
S30,2027,0,0
S30,2028,0,0
S30,2029,0,0
S30,2030,1100,1
S30,2031,1100,1
S30,2032,1100,1
S30,2033,1100,1
S30,2034,0,0
S30,2035,0,0
S30,2036,0,0
S30,2037,0,0
S08,2027,0,0
S08,2028,0,0
S08,2029,0,0
S08,2030,202,1
S08,2031,202,1
S08,2032,202,1
S08,2033,202,1
S08,2034,0,0
S08,2035,0,0
S08,2036,0,0
S08,2037,0,0
S13,2027,0,0
S13,2028,0,0
S13,2029,0,0
S13,2030,1275,1
S13,2031,1275,1
S13,2032,1275,1
S13,2033,1275,1
S13,2034,0,0
S13,2035,0,0
S13,2036,0,0
S13,2037,0,0
S26,2027,0,0
S26,2028,0,0
S26,2029,0,0
S26,2030,850,1
S26,2031,850,1
S26,2032,850,1
S26,2033,850,1
S26,2034,0,0
S26,2035,0,0
S26,2036,0,0
S26,2037,0,0
S03,2027,0,0
S03,2028,0,0
S03,2029,0,0
S03,2030,0,0
S03,2031,0,0
S03,2032,0,0
S03,2033,0,0
S03,2034,1995,1
S03,2035,1995,1
S03,2036,1995,1
S03,2037,1995,1
S28,2027,0,0
S28,2028,0,0
S28,2029,0,0
S28,2030,1462,1
S28,2031,1462,1
S28,2032,1462,1
S28,2033,1462,1
S28,2034,0,0
S28,2035,0,0
S28,2036,0,0
S28,2037,0,0
S29,2027,0,0
S29,2028,0,0
S29,2029,0,0
S29,2030,810,1
S29,2031,810,1
S29,2032,810,1
S29,2033,810,1
S29,2034,0,0
S29,2035,0,0
S29,2036,0,0
S29,2037,0,0
S21,2027,0,0
S21,2028,0,0
S21,2029,0,0
S21,2030,825,1
S21,2031,825,1
S21,2032,825,1
S21,2033,825,1
S21,2034,0,0
S21,2035,0,0
S21,2036,0,0
S21,2037,0,0
S15,2027,0,0
S15,2028,0,0
S15,2029,0,0
S15,2030,0,0
S15,2031,0,0
S15,2032,0,0
S15,2033,0,0
S15,2034,1688,1
S15,2035,1688,1
S15,2036,1688,1
S15,2037,1688,1
S27,2027,0,0
S27,2028,0,0
S27,2029,0,0
S27,2030,1080,1
S27,2031,1080,1
S27,2032,1080,1
S27,2033,1080,1
S27,2034,0,0
S27,2035,0,0
S27,2036,0,0
S27,2037,0,0
S18,2027,0,0
S18,2028,0,0
S18,2029,0,0
S18,2030,942,1
S18,2031,942,1
S18,2032,942,1
S18,2033,942,1
S18,2034,0,0
S18,2035,0,0
S18,2036,0,0
S18,2037,0,0
S12,2027,0,0
S12,2028,0,0
S12,2029,0,0
S12,2030,0,0
S12,2031,0,0
S12,2032,0,0
S12,2033,0,0
S12,2034,1050,1
S12,2035,1050,1
S12,2036,1050,1
S12,2037,1050,1
S20,2027,0,0
S20,2028,0,0
S20,2029,0,0
S20,2030,1072,1
S20,2031,1072,1
S20,2032,1072,1
S20,2033,1072,1
S20,2034,0,0
S20,2035,0,0
S20,2036,0,0
S20,2037,0,0
S22,2027,0,0
S22,2028,0,0
S22,2029,0,0
S22,2030,150,1
S22,2031,150,1
S22,2032,150,1
S22,2033,150,1
S22,2034,0,0
S22,2035,0,0
S22,2036,0,0
S22,2037,0,0
S19,2027,0,0
S19,2028,0,0
S19,2029,0,0
S19,2030,0,0
S19,2031,0,0
S19,2032,0,0
S19,2033,0,0
S19,2034,910,1
S19,2035,910,1
S19,2036,910,1
S19,2037,910,1
S25,2027,0,0
S25,2028,0,0
S25,2029,0,0
S25,2030,390,1
S25,2031,390,1
S25,2032,390,1
S25,2033,390,1
S25,2034,0,0
S25,2035,0,0
S25,2036,0,0
S25,2037,0,0
S23,2027,0,0
S23,2028,0,0
S23,2029,0,0
S23,2030,0,0
S23,2031,0,0
S23,2032,0,0
S23,2033,0,0
S23,2034,220,1
S23,2035,220,1
S23,2036,220,1
S23,2037,220,1
