site_id,scenario,rank,score
S07,Efficiency,1,73.69
S16,Efficiency,2,69.55
S10,Efficiency,3,66.63
S24,Efficiency,4,60.93
S06,Efficiency,5,59.61
S05,Efficiency,6,58.48
S11,Efficiency,7,58.07
S01,Efficiency,8,57.86
S17,Efficiency,9,57.61
S04,Efficiency,10,57.22
S09,Efficiency,11,55.57
S02,Efficiency,12,54.31
S14,Efficiency,13,53.7
S30,Efficiency,14,53.02
S08,Efficiency,15,52.97
S13,Efficiency,16,52.67
S26,Efficiency,17,52.48
S03,Efficiency,18,51.82
S28,Efficiency,19,51.65
S29,Efficiency,20,51.45
S21,Efficiency,21,49.91
S15,Efficiency,22,49.13
S27,Efficiency,23,47.59
S18,Efficiency,24,46.63
S12,Efficiency,25,45.48
S20,Efficiency,26,41.8
S22,Efficiency,27,41.16
S19,Efficiency,28,40.44
S25,Efficiency,29,36.78
S23,Efficiency,30,26.16
S07,Redress,1,78.91
S16,Redress,3,72.31
S10,Redress,2,75.73
S24,Redress,7,64.37
S06,Redress,11,61.66
S05,Redress,12,60.66
S11,Redress,5,65.19
S01,Redress,4,65.33
S17,Redress,15,59.11
S04,Redress,14,59.17
S09,Redress,6,64.72
S02,Redress,9,62.24
S14,Redress,13,59.33
S30,Redress,17,54.11
S08,Redress,8,63.56
S13,Redress,16,58.94
S26,Redress,21,48.04
S03,Redress,10,61.76
S28,Redress,24,44.03
S29,Redress,22,46.14
S21,Redress,23,44.61
S15,Redress,20,50.02
S27,Redress,25,43.71
S18,Redress,26,41.83
S12,Redress,18,53.33
S20,Redress,27,37.79
S22,Redress,19,50.31
S19,Redress,28,35.55
S25,Redress,30,33.27
S23,Redress,29,34.94
