site_id,dev_ha,density_u_ha,units_total,units_social,units_asofright,units_rezoning,dist_cbd_km,dist_bellville_km,dist_transit_km,impact_rank,impact_index,rank_shift,redress_index,displacement_risk,social_facility,slope_pct,elev_m,lst_anom_c,flood_risk,contamination,bulk_infra,enviro_sensitivity,delivery_complexity,land_value_r_m2,rank_p05,rank_p95,pct_top10,in_rank_p05,in_rank_p95,in_pct_top10
S07,2.4,220,528,343,528,0,0.45,19.16,0.35,8,69.57,0,92,22,92,5.0,22,2.4,18,18,90,28,58,11500,1.0,1.0,1.0,1.0,1.0,1.0
S16,18.0,200,3600,2340,3600,0,19.22,0.19,0.87,3,95.87,1,84,34,74,0.67,80,3.3,22,34,82,16,48,3100,2.0,2.0,1.0,2.0,3.0,1.0
S10,42.0,130,5460,3549,5460,0,0.78,18.56,0.85,2,96.8,-1,100,12,100,5.33,16,2.7,14,24,82,18,92,6800,3.0,3.0,1.0,2.0,3.0,1.0
S24,2.8,220,616,400,616,0,1.49,17.7,0.6,19,52.32,3,88,70,92,6.0,8,3.4,24,32,86,14,62,8900,4.0,5.0,1.0,4.0,7.0,1.0
S06,1.2,220,264,172,102,162,3.27,16.04,0.63,25,37.9,6,83,74,90,4.33,18,3.3,26,36,85,12,40,6100,5.0,6.0,1.0,4.0,9.0,0.995
S05,1.9,260,494,321,0,494,2.66,16.7,0.83,22,45.32,6,84,82,90,4.33,22,3.2,20,30,86,12,64,7400,6.0,9.0,1.0,5.0,10.0,0.962
S11,22.0,160,3520,2288,3520,0,7.56,12.36,1.23,5,72.57,-2,87,14,52,1.0,9,2.0,32,28,80,24,26,3900,6.0,10.0,0.986,5.0,11.0,0.942
S01,180.0,140,25200,16380,0,25200,9.34,9.83,1.23,1,100.0,-4,88,8,54,0.0,18,2.6,55,58,72,35,72,1450,4.0,11.0,0.842,5.0,11.0,0.888
S17,26.0,140,3640,2366,3510,130,14.95,4.18,0.13,6,72.13,6,66,36,65,0.67,39,3.0,36,40,78,18,50,2200,7.0,10.0,0.976,5.0,11.0,0.875
S04,5.6,200,1120,728,756,364,3.61,15.64,0.2,17,54.85,4,82,78,80,2.0,10,3.4,34,44,84,15,52,5200,8.0,10.0,0.969,5.0,12.0,0.815
